USM,UPM,FACTOR,REGION,ZONA,tipo.viv,NivInst,x,y,tipoViv,FACTORlog,y_w,FACTORcounts,ylogc,ylogcpred,ypred
2,1,248,1,1,3,4,0,533000,3,0.5336704637183276,132184000,1,-0.21345431033449458,0.4159747224012599,1000195.1969679109
3,1,248,1,1,3,7,0,164666.66666666666,3,0.5336704637183276,40837333.33333333,1,-1.3880525059805269,0.4159747224012599,1000195.1969679109
4,1,248,1,1,3,7,0,1690000,3,0.5336704637183276,419120000,1,0.9405080734167797,0.4159747224012599,1000195.1969679109
8,1,248,1,1,4,6,0,1560000,4,0.5336704637183276,386880000,1,0.8604653657432433,0.4159747224012599,1000195.1969679109
12,1,248,1,1,3,7,0,1501500,3,0.5336704637183276,372372000,1,0.8222441529230462,0.4159747224012599,1000195.1969679109
2,2,166,1,1,3,3,0,1599466.6666666667,3,0.1322295059098888,265511466.6666667,2,0.8854497848262959,0.08692582812082313,719748.296446525
4,2,166,1,1,3,3,0,753333.3333333335,3,0.1322295059098888,125053333.33333336,2,0.1325320690978824,0.08692582812082313,719748.296446525
5,2,166,1,1,3,7,0,636833.3333333334,3,0.1322295059098888,105714333.33333334,2,-0.0354677562814949,0.08692582812082313,719748.296446525
6,2,166,1,1,3,7,0,1358500,3,0.1322295059098888,225511000,2,0.7221606943660621,0.08692582812082313,719748.296446525
7,2,166,1,1,3,2,0,923000,3,0.1322295059098888,153218000,2,0.33565350000251293,0.08692582812082313,719748.296446525
8,2,166,1,1,5,7,0,638408.3333333334,5,0.1322295059098888,105975783.33333334,2,-0.03299763498293551,0.08692582812082313,719748.296446525
9,2,166,1,1,3,7,0,975000,3,0.1322295059098888,161850000,2,0.3904617364975085,0.08692582812082313,719748.296446525
10,2,166,1,1,3,3,52000,2416700,3,0.1322295059098888,401172200,2,1.2981825176885948,0.08692582812082313,719748.296446525
11,2,166,1,1,4,3,0,556400,4,0.1322295059098888,92362400,2,-0.17048827445105097,0.08692582812082313,719748.296446525
12,2,166,1,1,3,4,208000,1172166.6666666665,3,0.1322295059098888,194579666.66666663,2,0.5746334325796241,0.08692582812082313,719748.296446525
2,3,211,1,1,3,3,0,604066.6666666666,3,0.3720998510294118,127458066.66666666,3,-0.08829116738048981,0.28345765162782277,876058.9525715808
4,3,211,1,1,3,7,0,1300000,3,0.3720998510294118,274300000,3,0.6781438089492884,0.28345765162782277,876058.9525715808
5,3,211,1,1,3,3,0,3707816.6666666665,3,0.3720998510294118,782349316.6666666,3,1.7262227483165482,0.28345765162782277,876058.9525715808
6,3,211,1,1,3,2,0,1352000,3,0.3720998510294118,285272000,3,0.7173645221025691,0.28345765162782277,876058.9525715808
7,3,211,1,1,3,2,0,1408333.3333333335,3,0.3720998510294118,297158333.3333334,3,0.7581865166228248,0.28345765162782277,876058.9525715808
9,3,211,1,1,3,3,49298.5087719299,1652183.9463509321,3,0.3720998510294118,348610812.6800467,3,0.9178775610519487,0.28345765162782277,876058.9525715808
12,3,211,1,1,3,4,0,419333.33333333326,3,0.3720998510294118,88479333.33333331,3,-0.45330958590806425,0.28345765162782277,876058.9525715808
3,4,197,1,1,3,7,0,1170000,3,0.30344544629133363,230490000,4,0.5727832932914616,0.22738120229315872,828284.700768776
4,4,197,1,1,3,3,0,2290725.0167298685,3,0.30344544629133363,451272828.2957841,4,1.2446479131324466,0.22738120229315872,828284.700768776
7,4,197,1,1,3,3,0,681666.6666666666,3,0.30344544629133363,134288333.3333333,4,0.032565045308452056,0.22738120229315872,828284.700768776
8,4,197,1,1,2,7,0,2459166.666666667,2,0.30344544629133363,484455833.3333334,4,1.3156020836486455,0.22738120229315872,828284.700768776
10,4,197,1,1,5,1,0,260000,5,0.30344544629133363,51220000,4,-0.9312941034848112,0.22738120229315872,828284.700768776
11,4,197,1,1,3,4,0,300100,3,0.30344544629133363,59119700,4,-0.7878599820540177,0.22738120229315872,828284.700768776
12,4,197,1,1,3,2,0,905666.6666666667,3,0.30344544629133363,178416333.33333334,4,0.3166955862578984,0.22738120229315872,828284.700768776
1,5,184,1,1,3,7,0,1798333.3333333333,3,0.235177475162331,330893333.3333333,5,1.0026398545237853,0.17138392451967366,783177.7322204302
2,5,184,1,1,3,3,0,866666.6666666665,3,0.235177475162331,159466666.66666663,5,0.27267870084112467,0.17138392451967366,783177.7322204302
3,5,184,1,1,3,4,0,1779375,3,0.235177475162331,327405000,5,0.9920417235319618,0.17138392451967366,783177.7322204302
5,5,184,1,1,3,7,0,1197083.3333333333,3,0.235177475162331,220263333.3333333,5,0.5956675871250496,0.17138392451967366,783177.7322204302
6,5,184,1,1,3,4,0,3683333.333333333,3,0.235177475162331,677733333.3333333,5,1.7195976837774491,0.17138392451967366,783177.7322204302
7,5,184,1,1,3,7,0,2475416.6666666665,3,0.235177475162331,455476666.6666666,5,1.3221882765015014,0.17138392451967366,783177.7322204302
8,5,184,1,1,3,3,0,364200,3,0.235177475162331,67012800,5,-0.5942725672068327,0.17138392451967366,783177.7322204302
10,5,184,1,1,3,0,0,260533.33333333337,3,0.235177475162331,47938133.33333334,5,-0.9292449224398762,0.17138392451967366,783177.7322204302
12,5,184,1,1,3,3,0,910000,3,0.235177475162331,167440000,5,0.3214688650105568,0.17138392451967366,783177.7322204302
1,6,168,1,1,3,7,0,1733333.3333333333,3,0.1442056969566039,291200000,6,0.9658258814010701,0.09676250334555944,726863.162626616
2,6,168,1,1,3,3,0,606233.3333333334,3,0.1442056969566039,101847200,6,-0.08471078403547772,0.09676250334555944,726863.162626616
4,6,168,1,1,3,1,0,882916.6666666667,3,0.1442056969566039,148330000,6,0.2912550864140595,0.09676250334555944,726863.162626616
7,6,168,1,1,5,4,0,780000,5,0.1442056969566039,131040000,6,0.16731818518329789,0.09676250334555944,726863.162626616
9,6,168,1,1,3,0,0,455000,3,0.1442056969566039,76440000,6,-0.37167831554938857,0.09676250334555944,726863.162626616
11,6,168,1,1,3,3,0,827916.6666666667,3,0.1442056969566039,139090000,6,0.22693677069757712,0.09676250334555944,726863.162626616
12,6,168,1,1,3,2,62400,581566.6666666666,3,0.1442056969566039,97703200,6,-0.12625012308259365,0.09676250334555944,726863.162626616
1,7,201,1,1,5,3,0,615972.5,5,0.32354662561242087,123810472.5,7,-0.06877341482048394,0.24378076030397342,841980.1968660727
3,7,201,1,1,3,2,0,1003000,3,0.32354662561242087,201603000,7,0.41877505346159616,0.24378076030397342,841980.1968660727
4,7,201,1,1,3,3,0,728333.3333333334,3,0.32354662561242087,146395000,7,0.098783084361240725,0.24378076030397342,841980.1968660727
7,7,201,1,1,3,2,0,1417000,3,0.32354662561242087,284817000,7,0.7643215051903418,0.24378076030397342,841980.1968660727
8,7,201,1,1,3,4,16813.333333333332,2056188.3333333333,3,0.32354662561242087,413293855,7,1.136633489695349,0.24378076030397342,841980.1968660727
9,7,201,1,1,3,2,0,108500,3,0.32354662561242087,21808500,7,-1.8052255615198245,0.24378076030397342,841980.1968660727
10,7,201,1,1,3,3,0,822000,3,0.32354662561242087,165222000,7,0.21976466055584076,0.24378076030397342,841980.1968660727
12,7,201,1,1,3,1,0,156000,3,0.32354662561242087,31356000,7,-1.4421197272508017,0.24378076030397342,841980.1968660727
1,8,161,1,1,2,0,0,728000,2,0.10164608253780827,117208000,8,0.09832531369634623,0.06190273966237322,701961.4402951547
2,8,161,1,1,3,1,0,134500,3,0.10164608253780827,21654500,8,-1.5904115354584452,0.06190273966237322,701961.4402951547
4,8,161,1,1,3,1,0,872680,3,0.10164608253780827,140501480,8,0.27959320202348437,0.06190273966237322,701961.4402951547
5,8,161,1,1,3,7,0,1267500,3,0.10164608253780827,204067500,8,0.652826000964998,0.06190273966237322,701961.4402951547
6,8,161,1,1,3,3,0,634833.3333333334,3,0.10164608253780827,102208166.66666667,8,-0.038613237249791155,0.06190273966237322,701961.4402951547
7,8,161,1,1,3,3,0,2984583.333333333,3,0.10164608253780827,480517916.6666666,8,1.5092396947602111,0.06190273966237322,701961.4402951547
8,8,161,1,1,3,2,0,803416.6666666667,3,0.10164608253780827,129350083.33333334,8,0.19689773237604058,0.06190273966237322,701961.4402951547
10,8,161,1,1,3,7,0,1241198.075,3,0.10164608253780827,199832890.075,8,0.6318566471542173,0.06190273966237322,701961.4402951547
11,8,161,1,1,3,4,0,476666.66666666674,3,0.10164608253780827,76743333.33333334,8,-0.32515829991449685,0.06190273966237322,701961.4402951547
12,8,161,1,1,3,4,208000,966333.3333333335,3,0.10164608253780827,155579666.6666667,8,0.3815331057532063,0.06190273966237322,701961.4402951547
2,9,155,1,1,3,4,0,3802500,3,0.06366683447259192,589387500,9,1.7514382896331089,0.030776866632043952,680448.8140624587
3,9,155,1,1,3,7,0,2996500,3,0.06366683447259192,464457500,9,1.5132244853979007,0.030776866632043952,680448.8140624587
4,9,155,1,1,3,7,603200,3200305.9166666665,3,0.06366683447259192,496047417.0833333,9,1.579025948676522,0.030776866632043952,680448.8140624587
5,9,155,1,1,3,3,0,554500,3,0.06366683447259192,85947500,9,-0.17390892770991861,0.030776866632043952,680448.8140624587
6,9,155,1,1,3,1,0,416000,3,0.06366683447259192,64480000,9,-0.46129047423907643,0.030776866632043952,680448.8140624587
9,9,155,1,1,3,2,34666.66666666667,2300566.6666666665,3,0.06366683447259192,356587833.3333333,9,1.248935013882713,0.030776866632043952,680448.8140624587
10,9,155,1,1,2,7,0,650000,2,0.06366683447259192,100750000,9,-0.015003371610657013,0.030776866632043952,680448.8140624587
12,9,155,1,1,3,4,0,866666.6666666665,3,0.06366683447259192,134333333.3333333,9,0.27267870084112467,0.030776866632043952,680448.8140624587
1,10,246,1,1,3,1,0,1170000,3,0.5255732534857076,287820000,10,0.5727832932914616,0.4093339161168155,993575.1001375422
4,10,246,1,1,3,4,0,1198166.6666666667,3,0.5255732534857076,294749000,10,0.5965721552554779,0.4093339161168155,993575.1001375422
5,10,246,1,1,3,2,0,318500,3,0.5255732534857076,78351000,10,-0.7283532594881219,0.4093339161168155,993575.1001375422
7,10,246,1,1,3,3,0,1437476.5781842514,3,0.5255732534857076,353619238.23332584,10,0.7786687446013847,0.4093339161168155,993575.1001375422
8,10,246,1,1,3,3,0,271268.0331753562,3,0.5255732534857076,66731936.16113763,10,-0.888868350103019,0.4093339161168155,993575.1001375422
9,10,246,1,1,3,1,0,283000,3,0.5255732534857076,69618000,10,-0.846528836857102,0.4093339161168155,993575.1001375422
1,11,237,1,1,3,3,0,1250166.6666666667,3,0.48830185868847664,296289500,11,0.6390564202412428,0.378647698345034,963549.0867491342
2,11,237,1,1,3,7,416000,1932666.6666666665,3,0.48830185868847664,458041999.99999994,11,1.0746802863131517,0.378647698345034,963549.0867491342
4,11,237,1,1,3,2,0,317000,3,0.48830185868847664,75129000,11,-0.7330739606230594,0.378647698345034,963549.0867491342
6,11,237,1,1,3,7,15600,2064183.3333333335,3,0.48830185868847664,489211450.00000006,11,1.1405142124458756,0.378647698345034,963549.0867491342
7,11,237,1,1,1,7,0,1795842.4604131659,1,0.48830185868847664,425614663.1179203,11,1.0012537935952786,0.378647698345034,963549.0867491342
8,11,237,1,1,3,4,0,1139662.5962370695,3,0.48830185868847664,270100035.30818546,11,0.5465117948678699,0.378647698345034,963549.0867491342
10,11,237,1,1,3,3,0,754000,3,0.48830185868847664,178698000,11,0.13341663350761657,0.378647698345034,963549.0867491342
1,12,103,1,1,3,3,0,1820000,3,-0.345029294217019,187460000,12,1.0146160455705022,-0.3046784166004737,486529.3934051175
2,12,103,1,1,2,7,0,715000,2,-0.345029294217019,73645000,12,0.08030680819366864,-0.3046784166004737,486529.3934051175
3,12,103,1,1,2,4,0,1083333.3333333333,2,-0.345029294217019,111583333.33333333,12,0.4958222521553335,-0.3046784166004737,486529.3934051175
4,12,103,1,1,3,7,0,1484166.6666666665,3,-0.345029294217019,152869166.66666666,12,0.8106329919953676,-0.3046784166004737,486529.3934051175
5,12,103,1,1,2,7,17333.333333333336,3754833.3333333335,2,-0.345029294217019,386747833.3333334,12,1.738823443448748,-0.3046784166004737,486529.3934051175
6,12,103,1,1,3,3,0,682500,3,-0.345029294217019,70297500,12,0.03378679255877515,-0.3046784166004737,486529.3934051175
7,12,103,1,1,3,4,0,559000,3,-0.345029294217019,57577000,12,-0.1658262613452397,-0.3046784166004737,486529.3934051175
9,12,103,1,1,3,7,1733.3333333333335,1897566.6666666667,3,-0.345029294217019,195449366.6666667,12,1.0563519081004404,-0.3046784166004737,486529.3934051175
10,12,103,1,1,3,7,0,1541150,3,-0.345029294217019,158738450,12,0.848308435472612,-0.3046784166004737,486529.3934051175
11,12,103,1,1,2,7,86666.66666666667,6247126.166666667,2,-0.345029294217019,643453995.1666667,12,2.247901089150206,-0.3046784166004737,486529.3934051175
12,12,103,1,1,2,4,0,2874986.4167765873,2,-0.345029294217019,296123600.92798847,12,1.471827494120502,-0.3046784166004737,486529.3934051175
1,13,151,1,1,3,8,0,7800000,3,0.03752155436826943,1177800000,13,2.469903278177343,0.009303430658128595,665993.0034523915
2,13,151,1,1,2,3,0,215000,2,0.03752155436826943,32465000,13,-1.1213377063726764,0.009303430658128595,665993.0034523915
3,13,151,1,1,2,4,0,323650.25,2,0.03752155436826943,48871187.75,13,-0.7123122770697545,0.009303430658128595,665993.0034523915
4,13,151,1,1,2,7,468000,3479666.6666666665,2,0.03752155436826943,525429666.6666666,13,1.662716048239849,0.009303430658128595,665993.0034523915
5,13,151,1,1,2,3,0,1980333.3333333333,2,0.03752155436826943,299030333.3333333,13,1.0990447251872926,0.009303430658128595,665993.0034523915
